function,343,268
error,312,211
test,276,211
matrix,263,198
im,252,174
image,234,134
int,202,90
code,192,169
tests,155,139
width,153,74
functions,143,127
seam,141,98
use,139,111
file,137,91
autograder,135,119
row,131,76
get,123,108
sure,113,101
run,113,92
know,107,96
one,106,89
const,105,43
using,102,87
public,102,92
array,102,79
height,98,57
output,97,74
values,89,69
wrong,89,81
tried,88,78
hi,85,85
correct,83,73
value,82,63
getting,82,74
dont,81,74
make,81,70
cases,76,69
find,76,69
column,75,52
also,74,68
member,73,16
struct,72,15
new,71,46
confused,70,67
pointer,69,53
however,69,69
ive,68,62
fix,68,63
help,67,64
see,67,56
issue,66,61
energy,65,43
img,65,40
way,64,58
like,63,60
cost,63,45
processing,62,55
thank,62,62
project,61,48
files,61,54
right,61,59
matrix_at,60,55
still,60,57
says,59,56
named,59,2
trying,58,56
set,57,50
points,56,26
problem,56,54
first,56,46
cant,55,50
something,54,52
resize,53,49
case,53,47
pass,53,46
thanks,52,52
need,51,46
someone,51,50
working,50,46
figure,50,47
look,50,48
work,50,47
line,50,42
pixel,50,37
data,50,39
debugger,49,46
testing,48,44
uniqname,48,48
try,47,46
hello,47,47
index,47,37
since,46,43
wondering,46,44
used,46,40
terminal,46,45
errors,45,41
think,45,39
supposed,45,37
processingcpp,44,38
size,44,33
running,44,41
delete,43,26
doesnt,42,41
anyone,42,42
even,41,37
change,41,31
long,40,33
go,40,37
included,40,16
take,40,38
two,40,34
element,40,35
dog,39,34
seems,39,35
write,38,32
resizecpp,38,37
really,38,28
time,38,34
failing,37,35
last,37,33
input,37,30
mat,36,29
access,35,29
given,35,29
please,34,34
pixels,34,23
passing,34,28
able,34,30
return,34,26
going,34,31
different,34,31
matrixcpp,34,34
check,33,30
loop,33,29
style,32,21
crabster,32,29
call,32,28
failed,31,31
image_init,31,30
command,31,27
number,31,23
j,30,10
understand,30,28
debug,30,28
every,30,28
ppm,30,20
works,29,28
got,29,28
seem,29,27
c,29,18
implementation,28,24
didnt,28,24
imagecpp,28,28
assertion,28,27
partner,28,28
else,28,21
mean,28,27
initialize,28,24
want,27,23
create,27,22
cannot,27,25
fails,27,27
ptr,27,17
keep,26,26
operator,26,23
point,26,23
read,26,19
ran,26,25
might,26,24
assert,26,21
matrix_row,26,26
images,25,20
question,25,24
saying,25,24
passes,25,24
end,25,25
appreciated,25,25
carve,25,19
spec,24,20
type,24,17
program,24,20
vertical,24,20
address,24,17
missing,24,24
reason,24,23
fine,24,24
lines,24,21
currently,24,23
instead,23,23
memory,23,22
bug,23,23
submit,23,18
isnt,23,23
causing,23,22
compile,23,20
though,22,20
horses,22,21
private,22,21
us,22,20
original,22,19
put,22,20
string,22,19
equal,22,20
max,22,12
matrices,22,19
copy,21,14
print,21,18
second,21,16
submission,21,14
passed,21,21
everything,21,19
much,21,21
checked,21,19
unsure,21,20
pointers,21,20
void,21,17
trouble,21,20
name,21,16
git,21,11
main,20,19
correctly,20,19
give,20,20
initialized,20,16
col,19,13
without,19,19
nothing,19,19
remove,19,19
idea,19,18
tested,19,17
arguments,19,15
min,19,14
part,19,16
bugs,19,15
valid,19,6
pretty,19,18
possible,19,19
variable,19,18
rows,18,15
directly,18,18
expected,18,16
looking,18,18
issues,18,18
shows,18,17
found,18,16
bit,18,18
changes,18,13
version,18,18
due,17,16
specific,17,15
example,17,17
xcode,17,15
except,17,17
already,17,17
debugging,17,14
matrix_init,17,16
written,17,16
whenever,17,16
many,17,15
certain,17,16
means,17,16
gives,17,17
statement,17,17
well,17,17
newwidth,17,12
writing,17,17
less,17,17
fill,17,13
requires,17,6
find_minimal_vertical_seam,17,14
imgblue_channeldataiimgwidth,17,2
couldnt,16,15
within,16,14
student,16,14
three,16,14
done,16,14
reading,16,15
wrote,16,14
caen,16,15
istream,16,13
forint,16,5
r,16,6
post,15,13
actually,15,15
takes,15,12
catch,15,13
unable,15,14
giving,15,15
message,15,15
x,15,11
stuck,15,15
exactly,15,15
start,15,14
thing,15,15
whats,15,15
let,15,15
computer,15,14
following,15,15
returns,15,14
color,15,11
allowed,14,14
edge,14,13
checking,14,11
open,14,14
made,14,14
difference,14,14
edit,14,14
seam_carve_width,14,14
always,14,14
anything,14,14
fixing,14,14
appreciate,14,14
dogppm,14,14
bounds,14,14
image_set_pixel,14,14
noticed,14,14
imgheight,14,7
add,14,13
image_testscpp,14,13
matrix_fill,14,13
symbol,14,2
ag,13,12
another,13,13
times,13,13
went,13,13
hours,13,12
